,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Khan,19,11,31.0,0,222,9,24.66,7.16,20.6,0,0,0
1,C Jordan,43,43,151.3,0,1300,54,24.07,8.58,16.8,2,0,0
2,H Brar,54,49,196.0,4,2352,59,39.86,12.0,20.0,2,1,0
3,R Meredith,53,48,192.0,4,1728,49,35.27,9.0,24.0,2,0,0
4,R Bishnoi,47,44,132.0,1,1056,40,26.4,8.0,20.0,0,1,0
5,M Shami,8,8,27.4,0,275,10,27.5,9.93,16.6,0,0,0
6,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,0
7,L Yadav,57,54,216.0,3,3456,48,72.0,16.0,27.0,0,0,0
8,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
9,A Khan,30,30,99.2,2,692,34,20.35,6.96,17.5,0,0,0
